ID,성별,나이,머리둘레,키,목뒤높이,샅높이,목밑둘레,가슴둘레,젖가슴둘레,젖가슴아래둘레,허리둘레,배둘레,엉덩이둘레,겨드랑둘레,어깨가쪽사이길이,팔길이,등길이,귀구슬사이머리위길이,귀구슬사이너비,귀바퀴뿌리-귀바퀴뿌리뒤직선길이,발직선길이,몸무게
5_4423,남,39,570,1721,1448,760,395,945,917,862,782,787,912,417,412,594,414,408,144,19,250,63.5
5_4424,남,39,570,1723,1475,755,440,1046,1004,948,903,903,958,457,414,595,435,385,152,24,260,78
5_4425,남,36,,1758,1508,774,420,1010,977,907,877,882,968,437,425,604,443,387,155,23,252,75
5_4426,남,34,560,1668,1415,710,420,1008,953,893,790,778,935,413,418,555,434,384,144,22,246,66
5_4427,남,32,570,1700,1435,744,415,952,925,858,767,798,915,410,425,570,425,390,142,20,252,65
5_4428,남,18,570,1705,1456,763,425,947,914,883,802,800,935,420,413,585,398,387,143,17,250,65.5
5_4429,남,18,560,1758,1486,792,495,852,783,724,655,685,868,377,435,602,426,403,143,18,250,50.5
5_4430,남,17,540,1646,1400,707,415,883,854,790,727,802,947,380,432,585,392,405,142,21,235,62
5_4431,남,16,560,1670,1414,714,400,897,880,825,765,780,925,386,413,570,387,410,134,14,234,60
5_4432,남,16,550,1692,1443,777,390,902,873,833,772,830,958,410,402,593,356,395,134,21,248,65
5_4433,남,47,580,1705,1447,724,410,985,954,880,822,837,997,412,415,567,390,405,145,23,251,72
5_4434,남,37,540,1668,1418,727,420,933,932,878,826,868,920,418,410,584,380,373,142,21,243,63
5_4435,남,49,560,1764,1510,772,435,974,912,868,797,818,950,423,420,594,420,385,149,24,261,70
5_4436,남,57,560,1694,1444,727,440,1002,1026,972,974,980,1022,457,415,563,395,387,147,29,252,82.5
5_4437,남,19,570,1600,1358,682,415,964,960,910,915,932,932,429,395,530,385,375,142,20,232,66
5_4438,남,19,590,1790,1500,800,420,932,907,835,746,790,932,409,427,613,405,417,153,26,257,68
5_4439,남,18,565,1760,1487,802,395,903,878,815,722,760,882,420,385,623,414,390,137,25,244,61
5_4440,남,19,575,1738,1470,764,385,853,810,738,683,680,844,370,415,595,420,395,137,19,255,52
5_4441,남,42,580,1825,1543,830,435,1037,1012,920,848,886,1013,454,445,628,410,395,146,22,260,80.5
5_4442,남,49,550,1674,1430,733,425,945,902,860,793,870,932,403,415,530,405,385,142,23,244,63
5_4443,남,42,570,1736,1464,775,420,985,955,902,847,869,950,435,415,610,388,390,141,24,255,70
5_4444,남,44,560,1706,1462,724,445,1024,986,934,893,893,964,440,455,570,418,390,138,24,249,71.5
5_4445,남,37,580,1750,1506,765,455,1047,1055,992,934,934,1054,463,472,598,445,402,153,25,258,86
5_4446,남,34,570,1697,1434,758,410,977,944,880,704,725,890,406,420,570,390,382,143,21,247,59
5_4447,남,11,560,1775,1490,790,435,1008,990,927,804,784,958,434,456,593,438,380,140,22,270,72.5
5_4448,남,13,510,1254,1030,560,300,595,595,579,538,548,630,258,295,440,258,365,124,25,190,23.5
5_4449,남,12,530,1432,1204,677,315,690,670,646,592,603,678,297,332,510,313,368,123,23,217,32
5_4450,남,12,540,1450,1218,677,325,690,672,630,592,598,697,307,328,492,314,383,135,19,223,32
5_4451,남,9,530,1446,1203,665,330,724,672,632,590,588,732,310,353,490,305,375,128,23,223,34
5_4452,남,10,540,1302,1074,564,320,663,660,617,580,595,688,298,315,430,285,375,128,20,210,29.5
5_4453,남,9,520,1254,1233,547,315,647,632,602,573,554,657,282,322,413,258,373,125,23,203,26
5_4454,남,9,520,1375,1137,647,320,660,644,633,590,614,680,287,314,472,273,373,130,22,223,29.5
5_4455,남,8,510,1240,1028,562,290,587,585,568,525,530,630,263,297,425,283,353,123,23,197,23.5
5_4456,남,9,500,1205,995,517,295,610,578,564,535,535,628,277,305,403,247,355,120,23,201,23.5
5_4457,여,32,500,1245,1047,545,285,584,569,543,520,528,625,250,275,413,305,347,116,18,202,23
5_4458,여,9,540,1255,1033,545,320,660,632,583,567,584,677,280,330,415,275,385,120,18,194,27.5
5_4459,여,8,490,1232,1033,554,300,665,610,555,565,580,668,278,317,440,268,243,123,25,180,25
5_4460,여,8,470,1095,894,448,280,578,558,525,500,508,597,257,275,363,233,340,114,25,158,18.5
5_4461,여,8,515,1187,974,532,300,592,580,554,525,532,613,239,295,395,260,365,121,15,180,20.5
5_4462,남,18,530,1657,1404,754,370,806,773,737,668,689,858,383,380,564,383,362,139,19,253,50.5
5_4463,남,17,585,1832,1562,834,440,990,940,840,770,815,990,438,445,640,405,400,142,25,258,73.5
