youtube_id,comment,like_num
HannaAhn,자라가 신발이 이렇게이쁜줄 몰랐네요 깜놀 패션감각도 좋으신거 같은데 패션 콘텐츠는 좀더많이하셨음 했는데 딱 업로드 됐네요 넘죠아😀 언니 정말 열심히 노력하셔서 훨훨 날아다니시는 모습이 넘나멋져요 롤모델이에요 응원합니다😁﻿,0개
췕췕,언니ㅜㅜ ㄴ 너무ㅜㅜㅠ 이뻐요😭😍﻿,0개
리시연,탐포드 원피스 섹시한데 우아하고 가방들은 또 너무 예쁘고 자라원피스는 가서 사야되네﻿,0개
dearest,사배언니 사실 공주지?ㅠㅠㅠㅠㅠㅠ﻿,0개
뮤즈리MuseLee,"으앙 ㅠㅠㅠ 언뉘 요런 룩북 영상 가끔씩 업로드해주세요옹 ❤️ 너뮤 좋아여 ~~!!!! 
이번에도 멋짐폭발하신댜으💗💗💗💗﻿",0개
니은L,룩2의 치크가 너무 궁금해요ㅜㅜ﻿,0개
하동이,흑흑 너무 예뻐요ㅠㅠ 사배님 다리 넘 얇아ㅠ 정말 제 워너비예요ㅠㅠ😍😍﻿,0개
정화,진짜이뿌고멋있고ㅠㅠ스타일링영상 너무좋아용!!! 3번째 룩 화장궁금해요@.@♡♡﻿,4개
얼음물,진짜 미치겠다 ㅜㅜㅜㅡㅜㅜㅜㅜㅡㅡㅡ 도대체 언니 매력은 어디까지 있는 거에요 도대체 제발 어허어어엉엉엉울거야﻿,0개
0709Mua,톰포드 메이크업 미쳤다 ㅇ0ㅇ﻿,0개
yeongbinPark,사배언니는 약간 메시한 웨이브했을때가 진짜정말 너무 예뻐요 ㅠㅠㅠㅠㅠㅠ 홀딱반해정말 엉엉 ㅠㅠㅠㅠㅠ 언니 절 가져요 ㅠㅠㅠㅠㅠㅠ 사랑해요💓💓💓💓💓﻿,0개
,영상미가 어무 좋아요ㅠㅠㅠㅠ﻿,0개
최예린,패완얼..화장도너무 이뻐요﻿,0개
하하하,톰포드 제품이 몇개야..ㄷㄷㄷ 역시 사배온니ㅜㅠㅜbb﻿,0개
혜선HyeSunday,"언니,,진짜 미모 실화인가여,,, 옷이 사배빨,,❤️﻿",0개
김수연,브금 제목 뭔가욤..﻿,0개
애램,사배언니 사랑해요... 당신 최고야....﻿,0개
서영,사배언니 넘 싸라해❣️❣️﻿,0개
강혜인,사배언니 이때까지 인스타를 통해 출장에서 입었던 옷들 보고있었는데 이렇게 영상 올려주시고ㅎ 하나하나 신경쓰면서 올려주시다니 너무 감격🙏🙏🙏👏👏👏 판타스틱 합니다😍😍😍😍😍﻿,0개
장미래,"메이크업도👍
룩북도👍﻿",0개
미깰라만두빵,언니너무예쁘자녀......😂😍﻿,0개
0dewAhn,"온니 혹시 기억 나실지 모르겠는데, 어제 자라에서 수줍게 사진 찍어달라고 한 팬입니다ㅠㅠ 괜히 쇼핑하시는데 민폐 끼친 거 아닌지 모르겠어유ㅠㅠ 너무 놀라서 건강하시라고 밖에 말 못했는데ㅠㅠ 밝게 웃으면서 인사해주셔서 행복했어요오...♥️ 사랑해유ㅠㅠㅠ🌷 새내기때부터의 모든 화장 다 언니한테 배웠어요ㅠㅠ 얼굴이 말도 안되게 작으시고 진짜,,, 울 언니 화면에서 봐서 친근할줄 알았는데 셀럽그자체..ㅠㅡㅠㅡㅠㅡㅠ﻿",0개
강두,"증말 이 채널은 편집자님들 센스가,,, 대열일﻿",0개
HyunJiLee,오늘따라 또 선미가 자꾸 보여요....﻿,0개
cvbcvb1211,사배릠 몸매관리법좀여ㅠㅠㅠ미쳤다 각선미﻿,0개
모던모던,왘 너무 아름다우셔서 진짜 넋놓고 봤어요... 룩들 다 너무너무 이뻐요 역대급﻿,0개
승씅,좋은인생이다..﻿,0개
핑구,언니 너무 예뻐요😍😍﻿,0개
영순이,울언니 인스타보고있었는데 타이밍 대박이다 ㅠㅠ 언니 내가 젤 사랑해요 ㅠㅠㅠㅠ﻿,0개
챈쓰,부제 :  이사배 입덕영상﻿,0개
바지친구,너무...빠..빠르다..화면전환이...!!﻿,0개
Jade,자라에 신발사러 갑니다~!~!~!﻿,0개
영영,얼굴도 예쁘신데 몸 선도 너무 예쁘셔서 옷이 다 찰떡이에요♡♡♡ 혹시 운동이나 식단같은거 어떻게 관리하시는지도 소개해주시면 좋을 것 같아요!!﻿,0개
히힝,와 언니 자라 찰떡!!! 넘 이쁘게 소화하시는 사배언니♥﻿,0개
태연태연,1분 1초가 화보임 ㅋㅋㅋㅋㄱㅋ﻿,0개
하이예티,언니 너무 멋있어요~ 오늘부터 제 우상이에요!﻿,0개
김원더랜드,옷이 사배언니빨 받고있다....와 운좋은줄 알아라﻿,0개
영주0ju,하나같이 다이뻐버리기 있나용!!!!!❤️메이크업까지 다이쁘고 ㅜㅜㅜㅜ보고싶었어요💕﻿,0개
RyuhyeonSong,사랑해여ㅠㅠㅠㅠㅠ왤케이뻐여ㅠ﻿,0개
이예림,오늘도 완죤 여신이세여ㅠ♥♥﻿,0개
김소진,사배님........너무 예뻐요....ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ💓💓💓﻿,0개
왈왈왈왈,"사배님이 최고얌,,,화려한거 짱잘어울리셔 그냥 연예인!!!!﻿",0개
p0828,"사배님,, 3번째 룩 메이크업 튜토리얼 plz...:)﻿",0개
이샤몽,와 연예인이야... 완전..ㅠ﻿,0개
또또미,편집 뭐지.... 진짜 애쓴게 보입니다.... 👍👍﻿,0개
잘살아보세,잘봤습니다!😍﻿,0개
이가은,언니 너무 예뻐요!!!﻿,0개
뀨,이렇게 다 모아서 보니깐 너무너무 좋네요👀❤💕의상과 악세사리 하나하나가 다 잘 어울림👍사배님은 정말 세젤예😍 다음 영상도 기대하면서 기다릴게요🙋﻿,0개
공시생,노 젓는 장면에서 “한국 갈라고?” ㅋㅋㅋㅋㅋㅋ﻿,0개
